text,label
"Big pothole causing traffic issues",ROAD_DAMAGE
"Massive crater on 5th avenue please fix ASAP",ROAD_DAMAGE
"the street is literally crumbling apart here",ROAD_DAMAGE
"Dangerous sinkhole forming near the crosswalk",ROAD_DAMAGE
"pothol ruined my front right tire yesterday",ROAD_DAMAGE
"Deep cracks in the pavement, very hazardous for cyclists",ROAD_DAMAGE
"Road surface is completely torn up from recent construction",ROAD_DAMAGE
"Uneven road asphalt is causing cars to swerve",ROAD_DAMAGE
"theres a big hole in the road",ROAD_DAMAGE
"Please send a crew, the potholes on Elm St are getting ridiculous.",ROAD_DAMAGE
"Several large cracks forming on the overpass.",ROAD_DAMAGE
"Huge pothole! Someone is going to crash!",ROAD_DAMAGE
"street needs repaving bad",ROAD_DAMAGE
"The tarmac is peeling off and leaving deep gaps.",ROAD_DAMAGE
"urgent: massive pothole in the left lane",ROAD_DAMAGE
"Cracked road surface leading into the neighborhood",ROAD_DAMAGE
"My car bottomed out on this giant dip in the street",ROAD_DAMAGE
"road damage making it hard to drive",ROAD_DAMAGE
"Pavement is heavily damaged and needs patching.",ROAD_DAMAGE
"Can someone please fill this pothole? It's been there for months.",ROAD_DAMAGE
"sinkhole opening up, looks very dangerous",ROAD_DAMAGE
"The road here is full of craters.",ROAD_DAMAGE
"major cracks all over the intersection",ROAD_DAMAGE
"Terrible road conditions, full of bumps and holes",ROAD_DAMAGE
"pothole on main st",ROAD_DAMAGE
"It's like driving on the moon here, fix the potholes!",ROAD_DAMAGE
"Deep fissure in the asphalt near the drain.",ROAD_DAMAGE
"Asphalt is broken into pieces.",ROAD_DAMAGE
"huge chunk of road is missing",ROAD_DAMAGE
"Extensive cracking on the southbound lane.",ROAD_DAMAGE
"Fix the damn potholes already!",ROAD_DAMAGE
"pothole the size of a bathtub",ROAD_DAMAGE
"The road is caving in slightly here.",ROAD_DAMAGE
"Surface damage to the road, needs a patch job.",ROAD_DAMAGE
"spiderweb cracks spreading across the lane",ROAD_DAMAGE
"Bad pothole, completely unavoidable in traffic.",ROAD_DAMAGE
"Road is sinking near the manhole cover.",ROAD_DAMAGE
"Just hit a huge pothle on maple drive",ROAD_DAMAGE
"The middle lane has a hazardous rut.",ROAD_DAMAGE
"street is falling apart",ROAD_DAMAGE
"Cracks in the road are getting wider every day.",ROAD_DAMAGE
"Severe road degradation on the highway offramp.",ROAD_DAMAGE
"Multiple potholes clustered together.",ROAD_DAMAGE
"road damaged by snowplows last winter",ROAD_DAMAGE
"Please repair the large crack across the residential street.",ROAD_DAMAGE
"Garbage lying everywhere in the park",GARBAGE
"illegal dumping site has formed behind the alley",GARBAGE
"trash bins are overflowing onto the sidewalk",GARBAGE
"Terrible smell coming from dumped waste here",GARBAGE
"someone dumped a bunch of old mattresses",GARBAGE
"garbadge scattered all over the street",GARBAGE
"Please clean up the trash piled up near the bus stop.",GARBAGE
"Litter and plastic bags everywhere",GARBAGE
"overflowing trash cans",GARBAGE
"People keep throwing their household waste on the corner.",GARBAGE
"Huge pile of rubbish blocking the walkway.",GARBAGE
"URGENT: Rotting garbage attracting rats!",GARBAGE
"trash needs to be picked up",GARBAGE
"Empty bottles and wrappers dumped in the public garden.",GARBAGE
"illegal waste dumping overnight",GARBAGE
"There are dozens of black trash bags left here.",GARBAGE
"Disgusting amount of litter near the school.",GARBAGE
"garbage truck missed our street and now it's overflowing",GARBAGE
"Please remove the dumped construction debris.",GARBAGE
"It stinks! Trash has been sitting here for weeks.",GARBAGE
"pile of trash just sitting there",GARBAGE
"The dumpster is completely full and garbage is on the ground.",GARBAGE
"random trash bags on the curb",GARBAGE
"Dumped tires and broken furniture in the vacant lot.",GARBAGE
"garbage all over the place",GARBAGE
"Stop people from dumping their junk here!",GARBAGE
"Excessive littering in the drainage ditch.",GARBAGE
"Food waste and trash scattered by animals.",GARBAGE
"somebody dumped their yard waste in the middle of the path",GARBAGE
"Uncollected refuse is creating a health hazard.",GARBAGE
"Clean up this dump!",GARBAGE
"trash everywhere u look",GARBAGE
"The public bins haven't been emptied in days.",GARBAGE
"Heaps of garbage left after the weekend festival.",GARBAGE
"rotten food dumped on the pavement",GARBAGE
"Major litter problem at this intersection.",GARBAGE
"Someone abandoned a broken fridge on the sidewalk.",GARBAGE
"smells like garbbage",GARBAGE
"Plastic waste choking the local pond.",GARBAGE
"too much trash here",GARBAGE
"Illegal dumping of industrial waste.",GARBAGE
"Please send sanitation, the litter is out of control.",GARBAGE
"Mounds of garbage bags piled high.",GARBAGE
"trash strewn across the lawn",GARBAGE
"We need the illegal dumping cleared ASAP.",GARBAGE
"Streetlight not working since last week",ELECTRICAL
"Live electrical wire hanging from the pole!!",ELECTRICAL
"the street lamp is flickering constantly",ELECTRICAL
"Completely dark street, multiple lights are out",ELECTRICAL
"stretlight is broken and glass is on the floor",ELECTRICAL
"Sparks coming from the power transformer!",ELECTRICAL
"Exposed electrical cables near the playground, very dangerous",ELECTRICAL
"Power line looks like it's about to snap",ELECTRICAL
"lights out on main street",ELECTRICAL
"The streetlight outside my house has been dead for a month.",ELECTRICAL
"Open electrical junction box on the sidewalk.",ELECTRICAL
"URGENT: Power line down on the road!",ELECTRICAL
"street lights off",ELECTRICAL
"Flickering light is causing a strobe effect in my window.",ELECTRICAL
"exposed wires sticking out of the light pole",ELECTRICAL
"The neighborhood is pitch black, all streetlamps are dead.",ELECTRICAL
"Hanging wire, looks like a serious hazard.",ELECTRICAL
"electrical box making a buzzing noise",ELECTRICAL
"Please fix the burnt out streetlight.",ELECTRICAL
"I'm worried about these low hanging power lines.",ELECTRICAL
"transformer blew up",ELECTRICAL
"The light pole was hit by a car and wires are everywhere.",ELECTRICAL
"broken street lamp",ELECTRICAL
"Street lighting system failed on the entire block.",ELECTRICAL
"street light out",ELECTRICAL
"Fix the lights, it's unsafe to walk here at night!",ELECTRICAL
"Live cables exposed due to missing cover.",ELECTRICAL
"Sparks flying from the overhead lines during the wind.",ELECTRICAL
"loose wire dangling from the utility pole",ELECTRICAL
"The automatic streetlights aren't turning on at dusk.",ELECTRICAL
"Danger! Exposed electrical wires!",ELECTRICAL
"lamp post completely dark",ELECTRICAL
"Utility box door is wide open.",ELECTRICAL
